,JobTitle,Company,Location,Summary,Salary,SalaryType,City,State,Salary Lower,Salary Higher,Salary Average
30,Data Scientist,Aerotek,"Arlington, VA","Now hiring Data Scientists on DARPA's Net Defense team! 60% data mining and modeling (python, R, moving files in Linux/Unix environment) 30% visualization - making data models visual and presentable 10% team meetings This candidate will be supporting DARP...","[ 10 ,  150]",Y,Arlington,VA,10000.0,150000.0,80000.0
31,Associate Data Science,Sancus Associates,"District of Columbia, DC","Associate Data Scientist AdTech $125,000-150,000 New York, NY/ Washington, D.C A mid sized Adtech frim with offices in New York and Washington D.C is looking to bring on an associate to join the well established team. If you are looking to make the next s...","[ 125 ,  150]",Y,District of Columbia,DC,125000.0,150000.0,137500.0
32,Data Warehouse Analyst,Robert Half Technology,"Washington, DC","Ref ID: 04510-0008878026 Classification: Database Analyst Compensation: $100,000.00 to $130,000.00 per year Our client seeks a Data Scientist for a full time opportunity in Washington, DC: The Data Scientist will lead efforts for gathering and analyzing d...","[ 100 ,  130]",Y,Washington,DC,100000.0,130000.0,115000.0
33,Software Engineer,,"Washington, DC, MD","Acquisition Technologies, Inc., aVirginia based Engineering and Management solutions firm is currently seeking SoftwareEngineers to support NASA’s EOSDIS Evolution and Development 2 (EED-2) Projectin its mission to provide scientist and other users wit...","[ 75 ,  130]",Y,Washington,MD,75000.0,130000.0,102500.0
34,Senior Data Engineer - Streaming Analytics,CyberCoders,"Alexandria, VA","This position is open as of 10/18/2016. Senior Data Engineer - Streaming Analytics Leveraging 25 years of leadership in sensor technology, we are pioneering sensor analytics solutions that create operational intelligence from the Internet of things. Apply...","[ 75 ,  160]",Y,Alexandria,VA,75000.0,160000.0,117500.0
35,Senior Python Developer,CyberCoders,"Ashburn, VA","This position is open as of 10/18/2016. Senior Python Developer for a Leader in eCommerce ••EQUITY OPPORTUNITY as well. If you are a Senior Python Developer with experience, please read on! Top Reasons to Work with Us We are seeking a curious, out of the...","[ 100 ,  130]",Y,Ashburn,VA,100000.0,130000.0,115000.0
36,Project Manager,,"1705 Desales Street NorthwestWashington, DC","Analytica is seeking a Project Manager to join its Data Management & Analytics team supporting Federal Health Care (HHS/ CMS/ DHA / VA) practice. Projects in our Data Management & Analytics team include managing software, system engineering, data manageme...","[ 80 ,  135]",Y,1705 Desales Street NorthwestWashington,DC,80000.0,135000.0,107500.0
37,Senior Data Scientist,CyberCoders,"Palo Alto, CA","This position is open as of 10/18/2016. Senior Data Scientist - Machine Learning, Python, C/C++ If you are a Senior Data Scientist with experience, please read on! Job Title: Senior Data Scientist Location: Palo Alto, CA Salary: $100-175k+ Equity options...","[ 100 ,  175]",Y,Palo Alto,CA,100000.0,175000.0,137500.0
38,"Data Scientist Lead - Statistics, Modeling, ML - (140K-170K)",CyberCoders,"Mountain View, CA","This position is open as of 10/18/2016. Data Scientist Lead - Statistics, Modeling, ML - (140K-170K) If you are a Data Scientist Lead - Statistics, Modeling, Algorithms, Machine learning - (140K-170K) with experience, please read on! Located in beautiful...","[ 140 ,  175]",Y,Mountain View,CA,140000.0,175000.0,157500.0
39,"Lead Data Scientist - Statistics, Algorithms, ML - (140K-170K)",CyberCoders,"Mountain View, CA","This position is open as of 10/18/2016. Lead Data Scientist - Statistics, Algorithms, ML - (140K-170K) If you are a Lead Data Scientist - Statistics, Algorithms, ML - (140K-170K) with experience, please read on! Located in beautiful Mountain View, CA, we...","[ 140 ,  175]",Y,Mountain View,CA,140000.0,175000.0,157500.0
40,Lead Data Scientist / Data Scientist Manager - Bangkok,,"Palo Alto, CA","Lead Data Scientist (Bangkok) - FULL RELOCATION AND VISA SPONSORSHIP AVAILABLE Requirements: Do you have what it takes? * Excited and able to relocate to Bangkok, Thailand * Leadership skills and experience in leading data science projects and or teams *...","[ 0 ,  100]",Y,Palo Alto,CA,100000.0,100000.0,100000.0
41,"Bioinformatics Scientist - ""Top 10 Pharma/Biotech Firm""",CyberCoders,"Menlo Park, CA","This position is open as of 10/18/2016. Bioinformatics Scientist - ""Top 10 Pharma/Biotech Firm"" With offices spread around the world, we are a ""Top 10 Pharma/Biotech firm"" in need of a best in class Bioinformatics Scientist for our global headquarters in...","[ 75 ,  110]",Y,Menlo Park,CA,75000.0,110000.0,92500.0
42,Customer Service,,"San Leandro, CA",IMMEDIATE HIRE - NO EXPERIENCE NECESSARY - FULL TIME POSITIONS ENTRY LEVEL POSITIONS IN: ENTRY LEVEL MARKETING / CUSTOMER SERVICE - RAPID ADVANCEMENT IN OUR NEW OFFICE! We provide aggressive marketing and advertising campaigns for national accounts in the...,"[ 40 ,  50]",Y,San Leandro,CA,40000.0,50000.0,45000.0
43,Sr. Software Engineer - Save Lives!,CyberCoders,"Menlo Park, CA","This position is open as of 10/18/2016. Sr. Software Engineer - Save Lives! Based in Menlo Park, CA we are a breakthrough diagnostic leader in technology working with high profile clients such as Mayo Clinic. We received Series A funding in 2011 for $16M...","[ 120 ,  140]",Y,Menlo Park,CA,120000.0,140000.0,130000.0
44,Director of Engineering,CyberCoders,"Palo Alto, CA","This position is open as of 10/18/2016. Director of Engineering- Java/Scala, NLP, Data Science If you are a Director of Engineering with experience, please read on! Job Title: Director of Engineering Location: Palo Alto, CA Salary: $150-185k+ Equity optio...","[ 150 ,  200]",Y,Palo Alto,CA,150000.0,200000.0,175000.0
45,Research Engineer,CyberCoders,"San Mateo, CA","This position is open as of 10/18/2016. Research Engineer - Python, Machine Learning, If you are a Research Engineer with experience, please read on! We are looking for motivated self-starters and extremely fast learners with top notch problem solving and...","[ 80 ,  140]",Y,San Mateo,CA,80000.0,140000.0,110000.0
46,Analytical Chemist,Kelly Services,"Jacksonville, FL","Analytical Chemist Kelly Services has provided outstanding employment opportunities to the most talented professionals in the marketplace. Today, we are proud to offer an excellent contract opportunity for an Analytical Chemist with our client, a leader i...","[ 45 ,  50 ]",Y,Jacksonville,FL,45000.0,50000.0,47500.0
47,Data Scientist- Machine Learning,CyberCoders,"Redwood City, CA","This position is open as of 10/18/2016. Data Scientist- Machine Learning, Spark, Java, Scala If you are a Senior Data Scientist with experience, please read on! Job Title: Senior Data Scientist Location: Redwood City, CA Salary: $110-175k The company: We...","[ 110 ,  175]",Y,Redwood City,CA,110000.0,175000.0,142500.0
48,"Data Scientist Lead - Statistics, Modeling, ML - (140K-170K)",CyberCoders,"Mountain View, CA","This position is open as of 10/18/2016. Data Scientist Lead - Statistics, Modeling, ML - (140K-170K) If you are a Data Scientist Lead - Statistics, Modeling, Algorithms, Machine learning - (140K-170K) with experience, please read on! Located in beautiful...","[ 140 ,  175]",Y,Mountain View,CA,140000.0,175000.0,157500.0
49,"Lead Data Scientist - ML, NLP, AI",Vaco Technology,"San Francisco, CA","Vaco has been engaged to find a Lead Data Scientist to join a vibrant organization in which Machine Learning (ML) is the core technical mission. As a Lead Data Scientist, you will head up a 2 to 4 person team building state of the art algorithms for optim...","[ 170 ,  175]",Y,San Francisco,CA,170000.0,175000.0,172500.0
50,"Lead Data Scientist - Statistics, Algorithms, ML - (140K-170K)",CyberCoders,"Mountain View, CA","This position is open as of 10/18/2016. Lead Data Scientist - Statistics, Algorithms, ML - (140K-170K) If you are a Lead Data Scientist - Statistics, Algorithms, ML - (140K-170K) with experience, please read on! Located in beautiful Mountain View, CA, we...","[ 140 ,  175]",Y,Mountain View,CA,140000.0,175000.0,157500.0
51,Principal Scientist- Relocating to San Diego,CyberCoders,"San Francisco, CA","This position is open as of 10/18/2016. Principal Scientist - RELOCATING TO SAN DIEGO If you are a Principal Scientist with experience in Predictive Modeling, please read on! Job Title: Principal Scientist Location: San Diego, CA- Company will Relocate Sa...","[ 140 ,  200]",Y,San Francisco,CA,140000.0,200000.0,170000.0
52,Lead Data Scientist / Data Scientist Manager - Bangkok,,"Palo Alto, CA","Lead Data Scientist (Bangkok) - FULL RELOCATION AND VISA SPONSORSHIP AVAILABLE Requirements: Do you have what it takes? * Excited and able to relocate to Bangkok, Thailand * Leadership skills and experience in leading data science projects and or teams *...","[ 0 ,  100]",Y,Palo Alto,CA,100000.0,100000.0,100000.0
53,"Bioinformatics Scientist - ""Top 10 Pharma/Biotech Firm""",CyberCoders,"Menlo Park, CA","This position is open as of 10/18/2016. Bioinformatics Scientist - ""Top 10 Pharma/Biotech Firm"" With offices spread around the world, we are a ""Top 10 Pharma/Biotech firm"" in need of a best in class Bioinformatics Scientist for our global headquarters in...","[ 75 ,  110]",Y,Menlo Park,CA,75000.0,110000.0,92500.0
54,Customer Service,,"San Leandro, CA",IMMEDIATE HIRE - NO EXPERIENCE NECESSARY - FULL TIME POSITIONS ENTRY LEVEL POSITIONS IN: ENTRY LEVEL MARKETING / CUSTOMER SERVICE - RAPID ADVANCEMENT IN OUR NEW OFFICE! We provide aggressive marketing and advertising campaigns for national accounts in the...,"[ 40 ,  50]",Y,San Leandro,CA,40000.0,50000.0,45000.0
55,Tired of your Current Job? Looking for a Change in Career? It’s TIME to THINK OUTSIDE the CUBICLE!,,"Oakland, CA",Are you tired of being stuck behind your desk and not experiencing any growth? Is your desk stopping you from living your biggest dreams and aspirations? A great businessman once said “the only thing that is standing between your goals and your dreams is...,"[ 40 ,  70]",Y,Oakland,CA,40000.0,70000.0,55000.0
56,"Apply Today, Start Tomorrow! Entry Level Sales & Customer Service Rep - Advancement Opportunities",,"San Francisco, CA","Apply Today, Start Tomorrow! Entry Level Sales & Customer Service Rep - Management Opportunity Are you looking for a career that gets you EXCITED to come to work everyday? Are you looking for a CAREER rather than just a job? Welcome to our Firm, where NO...","[ 40 ,  50]",Y,San Francisco,CA,40000.0,50000.0,45000.0
57,Senior Software Engineer,CyberCoders,"Redwood City, CA","This position is open as of 10/18/2016. Senior Software Engineer If you are a Senior Software Engineer with experience, please read on! Job Title: Senior Software Engineer Location: Redwood City, CA Salary: $110-175k The company: We use our services to di...","[ 110 ,  175]",Y,Redwood City,CA,110000.0,175000.0,142500.0
58,"Sr. Data Infrastructure Engineer- VC Backed, Healthcare Startup!",CyberCoders,"San Francisco, CA","This position is open as of 10/18/2016. Data Infrastructure Engineer- Well Funded, Healthcare Start-Up! If you are a Data Infrastructure Engineer with 3+ years of experience and comfortable using Machine Learning and the latested in data analytics to buil...","[ 100 ,  150]",Y,San Francisco,CA,100000.0,150000.0,125000.0
59,Research Engineer,CyberCoders,"San Mateo, CA","This position is open as of 10/18/2016. Research Engineer - Python, Machine Learning, If you are a Research Engineer with experience, please read on! We are looking for motivated self-starters and extremely fast learners with top notch problem solving and...","[ 80 ,  140]",Y,San Mateo,CA,80000.0,140000.0,110000.0
60,Senior Python Developer,CyberCoders,"Ashburn, VA","This position is open as of 10/18/2016. Senior Python Developer for a Leader in eCommerce ••EQUITY OPPORTUNITY as well. If you are a Senior Python Developer with experience, please read on! Top Reasons to Work with Us We are seeking a curious, out of the...","[ 100 ,  130]",Y,Ashburn,VA,100000.0,130000.0,115000.0
61,Data Scientist- Machine Learning,CyberCoders,"Redwood City, CA","This position is open as of 10/18/2016. Data Scientist- Machine Learning, Spark, Java, Scala If you are a Senior Data Scientist with experience, please read on! Job Title: Senior Data Scientist Location: Redwood City, CA Salary: $110-175k The company: We...","[ 110 ,  175]",Y,Redwood City,CA,110000.0,175000.0,142500.0
62,"Data Scientist Lead - Statistics, Modeling, ML - (140K-170K)",CyberCoders,"Mountain View, CA","This position is open as of 10/18/2016. Data Scientist Lead - Statistics, Modeling, ML - (140K-170K) If you are a Data Scientist Lead - Statistics, Modeling, Algorithms, Machine learning - (140K-170K) with experience, please read on! Located in beautiful...","[ 140 ,  175]",Y,Mountain View,CA,140000.0,175000.0,157500.0
63,"Lead Data Scientist - ML, NLP, AI",Vaco Technology,"San Francisco, CA","Vaco has been engaged to find a Lead Data Scientist to join a vibrant organization in which Machine Learning (ML) is the core technical mission. As a Lead Data Scientist, you will head up a 2 to 4 person team building state of the art algorithms for optim...","[ 170 ,  175]",Y,San Francisco,CA,170000.0,175000.0,172500.0
64,"Lead Data Scientist - Statistics, Algorithms, ML - (140K-170K)",CyberCoders,"Mountain View, CA","This position is open as of 10/18/2016. Lead Data Scientist - Statistics, Algorithms, ML - (140K-170K) If you are a Lead Data Scientist - Statistics, Algorithms, ML - (140K-170K) with experience, please read on! Located in beautiful Mountain View, CA, we...","[ 140 ,  175]",Y,Mountain View,CA,140000.0,175000.0,157500.0
65,Principal Scientist- Relocating to San Diego,CyberCoders,"San Francisco, CA","This position is open as of 10/18/2016. Principal Scientist - RELOCATING TO SAN DIEGO If you are a Principal Scientist with experience in Predictive Modeling, please read on! Job Title: Principal Scientist Location: San Diego, CA- Company will Relocate Sa...","[ 140 ,  200]",Y,San Francisco,CA,140000.0,200000.0,170000.0
66,Lead Data Scientist / Data Scientist Manager - Bangkok,,"Palo Alto, CA","Lead Data Scientist (Bangkok) - FULL RELOCATION AND VISA SPONSORSHIP AVAILABLE Requirements: Do you have what it takes? * Excited and able to relocate to Bangkok, Thailand * Leadership skills and experience in leading data science projects and or teams *...","[ 0 ,  100]",Y,Palo Alto,CA,100000.0,100000.0,100000.0
67,"Apply Today, Start Tomorrow! Entry Level Sales & Customer Service Rep - Advancement Opportunities",,"San Francisco, CA","Apply Today, Start Tomorrow! Entry Level Sales & Customer Service Rep - Management Opportunity Are you looking for a career that gets you EXCITED to come to work everyday? Are you looking for a CAREER rather than just a job? Welcome to our Firm, where NO...","[ 40 ,  50]",Y,San Francisco,CA,40000.0,50000.0,45000.0
68,Customer Service - Paid training -Start ASAP,,"Richmond, CA",IMMEDIATE HIRE - NO EXPERIENCE NECESSARY - FULL TIME POSITIONS ENTRY LEVEL POSITIONS IN: ENTRY LEVEL MARKETING / CUSTOMER SERVICE - RAPID ADVANCEMENT IN OUR NEW OFFICE! We provide aggressive marketing and advertising campaigns for national accounts in the...,"[ 40 ,  50]",Y,Richmond,CA,40000.0,50000.0,45000.0
69,"Sr. Data Infrastructure Engineer- VC Backed, Healthcare Startup!",CyberCoders,"San Francisco, CA","This position is open as of 10/18/2016. Data Infrastructure Engineer- Well Funded, Healthcare Start-Up! If you are a Data Infrastructure Engineer with 3+ years of experience and comfortable using Machine Learning and the latested in data analytics to buil...","[ 100 ,  150]",Y,San Francisco,CA,100000.0,150000.0,125000.0
70,Data Scientist,CyberCoders,"Irvine, CA","This position is open as of 10/18/2016. Data Scientist - Must Relocate to Salt Lake City, UT If you are a Data Scientist - willing to relocate to SALT LAKE CITY, UT (assistance provided) - with experience, please read on! Location: Salt Lake City, UT Sala...","[ 90 ,  120]",Y,Irvine,CA,90000.0,120000.0,105000.0
71,Lead Data Scientist / Data Scientist Manager - Bangkok,Big Wednesday Digital,"Santa Ana, CA","Lead Data Scientist (Bangkok) - FULL RELOCATION AND VISA SPONSORSHIP AVAILABLE Requirements: Do you have what it takes? Excited and able to relocate to Bangkok, Thailand Leadership skills and experience in leading data science projects and or teams At lea...","[ 100 ,  200]",Y,Santa Ana,CA,100000.0,200000.0,150000.0
72,Lead Technology Architect - Advanced BioTech Firm,CyberCoders,"Torrance, CA","This position is open as of 10/18/2016. Lead Technology Architect - Advanced BioTech Firm If you are a Technology Architect with experience, please read on! This is an opportunity to work on an industry leading website that won NUMEROUS “BEST BIOTECHNOLOG...","[ 75 ,  150]",Y,Torrance,CA,75000.0,150000.0,112500.0
73,Data Scientist,CyberCoders,"Irvine, CA","This position is open as of 10/18/2016. Data Scientist - Must Relocate to Salt Lake City, UT If you are a Data Scientist - willing to relocate to SALT LAKE CITY, UT (assistance provided) - with experience, please read on! Location: Salt Lake City, UT Sala...","[ 90 ,  120]",Y,Irvine,CA,90000.0,120000.0,105000.0
74,Lead Data Scientist / Data Scientist Manager - Bangkok,Big Wednesday Digital,"Santa Ana, CA","Lead Data Scientist (Bangkok) - FULL RELOCATION AND VISA SPONSORSHIP AVAILABLE Requirements: Do you have what it takes? Excited and able to relocate to Bangkok, Thailand Leadership skills and experience in leading data science projects and or teams At lea...","[ 100 ,  200]",Y,Santa Ana,CA,100000.0,200000.0,150000.0
75,Lead Technology Architect - Advanced BioTech Firm,CyberCoders,"Torrance, CA","This position is open as of 10/18/2016. Lead Technology Architect - Advanced BioTech Firm If you are a Technology Architect with experience, please read on! This is an opportunity to work on an industry leading website that won NUMEROUS “BEST BIOTECHNOLOG...","[ 75 ,  150]",Y,Torrance,CA,75000.0,150000.0,112500.0
76,Data Scientist - 50% Client site- 50% work from home!,CyberCoders,"Schaumburg, IL","This position is open as of 10/18/2016. Data Scientist - 50% Client site- 50% work from home! If you are a Data Scientist with a desire to have a highly creative client facing role, please send me a resume and read on! Our Big Data Analytics firm was foun...","[ 150 ,  200]",Y,Schaumburg,IL,150000.0,200000.0,175000.0
77,Jr. Scientist - Biotech Manufacturing,Staffing Network,"Chicago, IL","Manufacturing Scientist - Biotechnology Looking for candidates with a background in Biology, Microbiology or Chemistry. In this position, you'll be responsible for process development for manufacturing pharmaceutical products in a state of the art laborat...","[ 22.00 ,  24.00]",H,Chicago,IL,45760.0,49920.0,47840.0
78,Data Engineer (ElasticSearch/Kafka) -global eCommerce - Bangkok,,"Chicago, IL",Data Engineer (ElasticSearch/Kafka) - global eCommerce - Bangkok Please note: This role is based in Bangkok and you must be willing to relocate to Thailand if you're interested in this role. Visa and relocation assistance is available. Requirements: * Bac...,"[ 0 ,  100]",Y,Chicago,IL,100000.0,100000.0,100000.0
79,Statistician II,,"Chicago, IL",Fortune 500 Pharmaceutical Client looking to add a Network Engineer to their rapidly growing team. W2 contract only no corp to corp. Description Core Job Responsibilities Responsible for implementing and maintaining the effectiveness of the quality system...,"[ 30.00 ,  37.00]",H,Chicago,IL,62400.0,76960.0,69680.0
80,Tax Manager,CyberCoders,"Chicago, IL","This position is open as of 10/18/2016. Tax Manager - FAS 109 If you are a Tax Manager with 4+ years of experience please read on! Based in Chicago, IL, we are one of the most renown and respected public accounting and consulting companies in the world. W...","[ 100 ,  130]",Y,Chicago,IL,100000.0,130000.0,115000.0
