,Survived,Sex,Pclass,Age,SibSp,Parch,Fare,Embarked,scaled_fare,scaled_age
80,0,male,3,22.0,0,0,9.0,S,-0.465006893682,-0.563674066475
81,1,male,3,29.0,0,0,9.5,S,-0.454940362994,-0.0242842434081
82,1,female,3,28.0,0,0,7.7875,Q,-0.4894182306,-0.101339932418
83,0,male,1,28.0,0,0,47.1,S,0.302062744736,-0.101339932418
84,1,female,2,17.0,0,0,10.5,S,-0.434807301618,-0.948952511522
85,1,female,3,33.0,3,0,15.85,S,-0.327095423257,0.28393851263
86,0,male,3,16.0,1,3,34.375,S,0.0458695387292,-1.02600820053
87,0,male,3,28.0,0,0,8.05,S,-0.484133301989,-0.101339932418
88,1,female,1,23.0,3,2,263.0,S,4.64879069577,-0.486618377465
89,0,male,3,24.0,0,0,8.05,S,-0.484133301989,-0.409562688456
90,0,male,3,29.0,0,0,8.05,S,-0.484133301989,-0.0242842434081
91,0,male,3,20.0,0,0,7.8542,S,-0.488075355406,-0.717785444494
92,0,male,1,46.0,1,0,61.175,S,0.585435583601,1.28566246975
93,0,male,3,26.0,1,2,20.575,S,-0.231966708257,-0.255451310437
94,0,male,3,59.0,0,0,7.25,S,-0.500239751089,2.28738642688
95,0,male,3,28.0,0,0,8.05,S,-0.484133301989,-0.101339932418
96,0,male,1,71.0,0,0,34.6542,C,0.0514906894653,3.21205469499
97,1,male,1,23.0,0,1,63.3583,C,0.629392096502,-0.486618377465
98,1,female,2,34.0,0,1,23.0,S,-0.183144034421,0.360994201639
99,0,male,2,34.0,1,0,26.0,S,-0.122744850293,0.360994201639
100,0,female,3,28.0,0,0,7.8958,S,-0.487237820053,-0.101339932418
101,0,male,3,28.0,0,0,7.8958,S,-0.487237820053,-0.101339932418
102,0,male,1,21.0,0,1,77.2875,S,0.909829535018,-0.640729755484
103,0,male,3,33.0,0,0,8.6542,S,-0.471968906305,0.28393851263
104,0,male,3,37.0,2,0,7.925,S,-0.486649934661,0.592161268668
105,0,male,3,28.0,0,0,7.8958,S,-0.487237820053,-0.101339932418
106,1,female,3,21.0,0,0,7.65,S,-0.492186526539,-0.640729755484
107,1,male,3,28.0,0,0,7.775,S,-0.489669893867,-0.101339932418
108,0,male,3,38.0,0,0,7.8958,S,-0.487237820053,0.669216957678
109,1,female,3,28.0,1,0,24.15,Q,-0.159991013838,-0.101339932418
110,0,male,1,47.0,0,0,52.0,S,0.400714745478,1.36271815876
111,0,female,3,14.5,1,0,14.4542,C,-0.355197150326,-1.14159173405
112,0,male,3,22.0,0,0,8.05,S,-0.484133301989,-0.563674066475
113,0,female,3,20.0,1,0,9.825,S,-0.448397118047,-0.717785444494
114,0,female,3,17.0,0,0,14.4583,C,-0.355114604774,-0.948952511522
115,0,male,3,21.0,0,0,7.925,S,-0.486649934661,-0.640729755484
116,0,male,3,70.5,0,0,7.75,Q,-0.490173220401,3.17352685049
117,0,male,2,29.0,1,0,21.0,S,-0.223410157172,-0.0242842434081
118,0,male,1,24.0,0,1,247.5208,C,4.33714701212,-0.409562688456
119,0,female,3,2.0,4,2,31.275,S,-0.0165429515358,-2.10478784667
120,0,male,2,21.0,2,0,73.5,S,0.833575565057,-0.640729755484
121,0,male,3,28.0,0,0,8.05,S,-0.484133301989,-0.101339932418
122,0,male,2,32.5,1,0,30.0708,C,-0.0407871840446,0.245410668125
123,1,female,2,32.5,0,0,13.0,S,-0.384474648179,0.245410668125
124,0,male,1,54.0,0,1,77.2875,S,0.909829535018,1.90210798183
125,1,male,3,12.0,1,0,11.2417,C,-0.419874609996,-1.33423095657
126,0,male,3,28.0,0,0,7.75,Q,-0.490173220401,-0.101339932418
127,1,male,3,24.0,0,0,7.1417,S,-0.502420161636,-0.409562688456
128,1,female,3,28.0,1,1,22.3583,C,-0.196063419905,-0.101339932418
129,0,male,3,45.0,0,0,6.975,S,-0.505776342968,1.20860678074
130,0,male,3,33.0,0,0,7.8958,C,-0.487237820053,0.28393851263
131,0,male,3,20.0,0,0,7.05,S,-0.504266363365,-0.717785444494
132,0,female,3,47.0,1,0,14.5,S,-0.354275056115,1.36271815876
133,1,female,2,29.0,1,0,26.0,S,-0.122744850293,-0.0242842434081
134,0,male,2,25.0,0,0,13.0,S,-0.384474648179,-0.332506999446
135,0,male,2,23.0,0,0,15.0458,C,-0.343286431216,-0.486618377465
136,1,female,1,19.0,0,2,26.2833,S,-0.117041154005,-0.794841133503
137,0,male,1,37.0,1,0,53.1,S,0.422861112991,0.592161268668
138,0,male,3,16.0,0,0,9.2167,S,-0.460644059282,-1.02600820053
139,0,male,1,24.0,0,0,79.2,C,0.948334014899,-0.409562688456
140,0,female,3,28.0,0,2,15.2458,C,-0.339259818941,-0.101339932418
141,1,female,3,22.0,0,0,7.75,S,-0.490173220401,-0.563674066475
142,1,female,3,24.0,1,0,15.85,S,-0.327095423257,-0.409562688456
143,0,male,3,19.0,0,0,6.75,Q,-0.510306281777,-0.794841133503
144,0,male,2,18.0,0,0,11.5,S,-0.414674240242,-0.871896822513
145,0,male,2,19.0,1,1,36.75,S,0.0936855594967,-0.794841133503
146,1,male,3,27.0,0,0,7.7958,S,-0.48925112619,-0.178395621427
147,0,female,3,9.0,2,2,34.375,S,0.0458695387292,-1.5653980236
148,0,male,2,36.5,0,2,26.0,S,-0.122744850293,0.553633424163
149,0,male,2,42.0,0,0,13.0,S,-0.384474648179,0.977439713716
150,0,male,2,51.0,0,0,12.525,S,-0.394037852332,1.6709409148
151,1,female,1,22.0,1,0,66.6,S,0.694657441564,-0.563674066475
152,0,male,3,55.5,0,0,8.05,S,-0.484133301989,2.01769151534
153,0,male,3,40.5,0,2,14.5,S,-0.354275056115,0.861856180201
154,0,male,3,28.0,0,0,7.3125,S,-0.498981434753,-0.101339932418
155,0,male,1,51.0,0,1,61.3792,C,0.589546754733,1.6709409148
156,1,female,3,16.0,0,0,7.7333,Q,-0.490509442526,-1.02600820053
157,0,male,3,30.0,0,0,8.05,S,-0.484133301989,0.0527714456014
158,0,male,3,28.0,0,0,8.6625,S,-0.471801801896,-0.101339932418
159,0,male,3,28.0,8,2,69.55,S,0.754049972623,-0.101339932418
160,0,male,3,44.0,0,1,16.1,S,-0.322062157914,1.13155109173
161,1,female,2,40.0,0,0,15.75,S,-0.329108729395,0.823328335697
162,0,male,3,26.0,0,0,7.775,S,-0.489669893867,-0.255451310437
163,0,male,3,17.0,0,0,8.6625,S,-0.471801801896,-0.948952511522
164,0,male,3,1.0,4,1,39.6875,S,0.152826427288,-2.18184353567
165,1,male,3,9.0,0,2,20.525,S,-0.232973361326,-1.5653980236
166,1,female,1,28.0,0,1,55.0,S,0.461113929605,-0.101339932418
167,0,female,3,45.0,1,4,27.9,S,-0.0844920336791,1.20860678074
168,0,male,1,28.0,0,0,25.925,S,-0.124254829896,-0.101339932418
169,0,male,3,28.0,0,0,56.4958,S,0.491228962811,-0.101339932418
170,0,male,1,61.0,0,0,33.5,S,0.0282531100253,2.4414978049
171,0,male,3,4.0,4,1,29.125,Q,-0.0598290334938,-1.95067646865
172,1,female,3,1.0,1,1,11.1333,S,-0.422057033849,-2.18184353567
173,0,male,3,21.0,0,0,7.925,S,-0.486649934661,-0.640729755484
174,0,male,1,56.0,0,0,30.6958,C,-0.0282040206847,2.05621935985
175,0,male,3,18.0,1,1,7.8542,S,-0.488075355406,-0.871896822513
176,0,male,3,28.0,3,1,25.4667,S,-0.133481811925,-0.101339932418
177,0,female,1,50.0,0,0,28.7125,C,-0.0681339213113,1.59388522579
178,0,male,2,30.0,0,0,13.0,S,-0.384474648179,0.0527714456014
179,0,male,3,36.0,0,0,0.0,S,-0.646204446064,0.515105579659
180,0,female,3,28.0,8,2,69.55,S,0.754049972623,-0.101339932418
181,0,male,2,28.0,0,0,15.05,C,-0.343201872358,-0.101339932418
182,0,male,3,9.0,4,2,31.3875,S,-0.014277982131,-1.5653980236
183,1,male,2,1.0,2,1,39.0,S,0.138984947592,-2.18184353567
184,1,female,3,4.0,0,2,22.025,S,-0.202773769262,-1.95067646865
185,0,male,1,28.0,0,0,50.0,S,0.360448622726,-0.101339932418
186,1,female,3,28.0,1,0,15.5,Q,-0.334141994739,-0.101339932418
187,1,male,1,45.0,0,0,26.55,S,-0.111671666536,1.20860678074
188,0,male,3,40.0,1,1,15.5,Q,-0.334141994739,0.823328335697
189,0,male,3,36.0,0,0,7.8958,S,-0.487237820053,0.515105579659
190,1,female,2,32.0,0,0,13.0,S,-0.384474648179,0.20688282362
191,0,male,2,19.0,0,0,13.0,S,-0.384474648179,-0.794841133503
192,1,female,3,19.0,1,0,7.8542,S,-0.488075355406,-0.794841133503
193,1,male,2,3.0,1,1,26.0,S,-0.122744850293,-2.02773215766
194,1,female,1,44.0,0,0,27.7208,C,-0.0880998782777,1.13155109173
195,1,female,1,58.0,0,0,146.5208,C,2.30370781317,2.21033073787
196,0,male,3,28.0,0,0,7.75,Q,-0.490173220401,-0.101339932418
197,0,male,3,42.0,0,1,8.4042,S,-0.477002171649,0.977439713716
198,1,female,3,28.0,0,0,7.75,Q,-0.490173220401,-0.101339932418
199,0,female,2,24.0,0,0,13.0,S,-0.384474648179,-0.409562688456
200,0,male,3,28.0,0,0,9.5,S,-0.454940362994,-0.101339932418
201,0,male,3,28.0,8,2,69.55,S,0.754049972623,-0.101339932418
202,0,male,3,34.0,0,0,6.4958,S,-0.515424105979,0.360994201639
203,0,male,3,45.5,0,0,7.225,C,-0.500743077624,1.24713462525
204,1,male,3,18.0,0,0,8.05,S,-0.484133301989,-0.871896822513
205,0,female,3,2.0,0,1,10.4625,S,-0.43556229142,-2.10478784667
206,0,male,3,32.0,1,0,15.85,S,-0.327095423257,0.20688282362
207,1,male,3,26.0,0,0,18.7875,C,-0.267954555466,-0.255451310437
208,1,female,3,16.0,0,0,7.75,Q,-0.490173220401,-1.02600820053
209,1,male,1,40.0,0,0,31.0,C,-0.0220795434142,0.823328335697
210,0,male,3,24.0,0,0,7.05,S,-0.504266363365,-0.409562688456
211,1,female,2,35.0,0,0,21.0,S,-0.223410157172,0.438049890649
212,0,male,3,22.0,0,0,7.25,S,-0.500239751089,-0.563674066475
213,0,male,2,30.0,0,0,13.0,S,-0.384474648179,0.0527714456014
214,0,male,3,28.0,1,0,7.75,Q,-0.490173220401,-0.101339932418
215,1,female,1,31.0,1,0,113.275,C,1.63436808128,0.129827134611
216,1,female,3,27.0,0,0,7.925,S,-0.486649934661,-0.178395621427
217,0,male,2,42.0,1,0,27.0,S,-0.102611788917,0.977439713716
218,1,female,1,32.0,0,0,76.2917,C,0.8897810325,0.20688282362
219,0,male,2,30.0,0,0,10.5,S,-0.434807301618,0.0527714456014
220,1,male,3,16.0,0,0,8.05,S,-0.484133301989,-1.02600820053
221,0,male,2,27.0,0,0,13.0,S,-0.384474648179,-0.178395621427
222,0,male,3,51.0,0,0,8.05,S,-0.484133301989,1.6709409148
223,0,male,3,28.0,0,0,7.8958,S,-0.487237820053,-0.101339932418
224,1,male,1,38.0,1,0,90.0,S,1.16577107776,0.669216957678
225,0,male,3,22.0,0,0,9.35,S,-0.4579603222,-0.563674066475
226,1,male,2,19.0,0,0,10.5,S,-0.434807301618,-0.794841133503
227,0,male,3,20.5,0,0,7.25,S,-0.500239751089,-0.679257599989
228,0,male,2,18.0,0,0,13.0,S,-0.384474648179,-0.871896822513
229,0,female,3,28.0,3,1,25.4667,S,-0.133481811925,-0.101339932418
230,1,female,1,35.0,1,0,83.475,S,1.03440285228,0.438049890649
231,0,male,3,29.0,0,0,7.775,S,-0.489669893867,-0.0242842434081
232,0,male,2,59.0,0,0,13.5,S,-0.374408117491,2.28738642688
233,1,female,3,5.0,4,2,31.3875,S,-0.014277982131,-1.87362077964
234,0,male,2,24.0,0,0,10.5,S,-0.434807301618,-0.409562688456
235,0,female,3,28.0,0,0,7.55,S,-0.494199832677,-0.101339932418
236,0,male,2,44.0,1,0,26.0,S,-0.122744850293,1.13155109173
237,1,female,2,8.0,0,2,26.25,S,-0.117711584949,-1.64245371261
238,0,male,2,19.0,0,0,10.5,S,-0.434807301618,-0.794841133503
239,0,male,2,33.0,0,0,12.275,S,-0.399071117676,0.28393851263
240,0,female,3,28.0,1,0,14.4542,C,-0.355197150326,-0.101339932418
241,1,female,3,28.0,1,0,15.5,Q,-0.334141994739,-0.101339932418
242,0,male,2,29.0,0,0,10.5,S,-0.434807301618,-0.0242842434081
243,0,male,3,22.0,0,0,7.125,S,-0.502756383761,-0.563674066475
244,0,male,3,30.0,0,0,7.225,C,-0.500743077624,0.0527714456014
245,0,male,1,44.0,2,0,90.0,Q,1.16577107776,1.13155109173
246,0,female,3,25.0,0,0,7.775,S,-0.489669893867,-0.332506999446
247,1,female,2,24.0,0,2,14.5,S,-0.354275056115,-0.409562688456
248,1,male,1,37.0,1,1,52.5542,S,0.411872488092,0.592161268668
249,0,male,2,54.0,1,0,26.0,S,-0.122744850293,1.90210798183
250,0,male,3,28.0,0,0,7.25,S,-0.500239751089,-0.101339932418
251,0,female,3,29.0,1,1,10.4625,S,-0.43556229142,-0.0242842434081
252,0,male,1,62.0,0,0,26.55,S,-0.111671666536,2.51855349391
253,0,male,3,30.0,1,0,16.1,S,-0.322062157914,0.0527714456014
254,0,female,3,41.0,0,2,20.2125,S,-0.239264943006,0.900384024706
255,1,female,3,29.0,0,2,15.2458,C,-0.339259818941,-0.0242842434081
256,1,female,1,28.0,0,0,79.2,C,0.948334014899,-0.101339932418
257,1,female,1,30.0,0,0,86.5,S,1.09530536294,0.0527714456014
258,1,female,1,35.0,0,0,512.3292,C,9.66855078215,0.438049890649
259,1,female,2,50.0,0,1,26.0,S,-0.122744850293,1.59388522579
260,0,male,3,28.0,0,0,7.75,Q,-0.490173220401,-0.101339932418
261,1,male,3,3.0,4,2,31.3875,S,-0.014277982131,-2.02773215766
262,0,male,1,52.0,1,1,79.65,S,0.957393892518,1.74799660381
263,0,male,1,40.0,0,0,0.0,S,-0.646204446064,0.823328335697
264,0,female,3,28.0,0,0,7.75,Q,-0.490173220401,-0.101339932418
265,0,male,2,36.0,0,0,10.5,S,-0.434807301618,0.515105579659
266,0,male,3,16.0,4,1,39.6875,S,0.152826427288,-1.02600820053
267,1,male,3,25.0,1,0,7.775,S,-0.489669893867,-0.332506999446
268,1,female,1,58.0,0,1,153.4625,S,2.44346548532,2.21033073787
269,1,female,1,35.0,0,0,135.6333,S,2.08450910744,0.438049890649
270,0,male,1,28.0,0,0,31.0,S,-0.0220795434142,-0.101339932418
271,1,male,3,25.0,0,0,0.0,S,-0.646204446064,-0.332506999446
272,1,female,2,41.0,0,1,19.5,S,-0.253609749236,0.900384024706
273,0,male,1,37.0,0,1,29.7,C,-0.0482525232027,0.592161268668
274,1,female,3,28.0,0,0,7.75,Q,-0.490173220401,-0.101339932418
275,1,female,1,63.0,1,0,77.9583,S,0.923334792589,2.59560918292
276,0,female,3,45.0,0,0,7.75,S,-0.490173220401,1.20860678074
277,0,male,2,28.0,0,0,0.0,S,-0.646204446064,-0.101339932418
278,0,male,3,7.0,4,1,29.125,Q,-0.0598290334938,-1.71950940162
279,1,female,3,35.0,1,1,20.25,S,-0.238509953204,0.438049890649
280,0,male,3,65.0,0,0,7.75,Q,-0.490173220401,2.74972056093
281,0,male,3,28.0,0,0,7.8542,S,-0.488075355406,-0.101339932418
282,0,male,3,16.0,0,0,9.5,S,-0.454940362994,-1.02600820053
283,1,male,3,19.0,0,0,8.05,S,-0.484133301989,-0.794841133503
284,0,male,1,28.0,0,0,26.0,S,-0.122744850293,-0.101339932418
285,0,male,3,33.0,0,0,8.6625,C,-0.471801801896,0.28393851263
286,1,male,3,30.0,0,0,9.5,S,-0.454940362994,0.0527714456014
287,0,male,3,22.0,0,0,7.8958,S,-0.487237820053,-0.563674066475
288,1,male,2,42.0,0,0,13.0,S,-0.384474648179,0.977439713716
289,1,female,3,22.0,0,0,7.75,Q,-0.490173220401,-0.563674066475
290,1,female,1,26.0,0,0,78.85,S,0.941287443418,-0.255451310437
291,1,female,1,19.0,1,0,91.0792,C,1.18749867759,-0.794841133503
292,0,male,2,36.0,0,0,12.875,C,-0.38699128085,0.515105579659
293,0,female,3,24.0,0,0,8.85,S,-0.468026852888,-0.409562688456
294,0,male,3,24.0,0,0,7.8958,S,-0.487237820053,-0.409562688456
295,0,male,1,28.0,0,0,27.7208,C,-0.0880998782777,-0.101339932418
296,0,male,3,23.5,0,0,7.2292,C,-0.500658518766,-0.44809053296
297,0,female,1,2.0,1,2,151.55,S,2.40496100544,-2.10478784667
298,1,male,1,28.0,0,0,30.5,S,-0.0321460741021,-0.101339932418
299,1,female,1,50.0,0,1,247.5208,C,4.33714701212,1.59388522579
300,1,female,3,28.0,0,0,7.75,Q,-0.490173220401,-0.101339932418
301,1,male,3,28.0,2,0,23.25,Q,-0.178110769077,-0.101339932418
302,0,male,3,19.0,0,0,0.0,S,-0.646204446064,-0.794841133503
303,1,female,2,28.0,0,0,12.35,Q,-0.397561138073,-0.101339932418
304,0,male,3,28.0,0,0,8.05,S,-0.484133301989,-0.101339932418
305,1,male,1,0.92,1,2,151.55,S,2.40496100544,-2.1880079908
306,1,female,1,28.0,0,0,110.8833,C,1.58621583839,-0.101339932418
307,1,female,1,17.0,1,0,108.9,C,1.54628593776,-0.948952511522
308,0,male,2,30.0,1,0,24.0,C,-0.163010973045,0.0527714456014
309,1,female,1,30.0,0,0,56.9292,C,0.499954631611,0.0527714456014
310,1,female,1,24.0,0,0,83.1583,C,1.02802671174,-0.409562688456
311,1,female,1,18.0,2,2,262.375,C,4.63620753241,-0.871896822513
312,0,female,2,26.0,1,1,26.0,S,-0.122744850293,-0.255451310437
313,0,male,3,28.0,0,0,7.8958,S,-0.487237820053,-0.101339932418
314,0,male,2,43.0,1,1,26.25,S,-0.117711584949,1.05449540273
315,1,female,3,26.0,0,0,7.8542,S,-0.488075355406,-0.255451310437
316,1,female,2,24.0,1,0,26.0,S,-0.122744850293,-0.409562688456
317,0,male,2,54.0,0,0,14.0,S,-0.364341586803,1.90210798183
318,1,female,1,31.0,0,2,164.8667,S,2.67306694386,0.129827134611
319,1,female,1,40.0,1,1,134.5,C,2.06169230898,0.823328335697
320,0,male,3,22.0,0,0,7.25,S,-0.500239751089,-0.563674066475
321,0,male,3,27.0,0,0,7.8958,S,-0.487237820053,-0.178395621427
322,1,female,2,30.0,0,0,12.35,Q,-0.397561138073,0.0527714456014
323,1,female,2,22.0,1,1,29.0,S,-0.0623456661658,-0.563674066475
324,0,male,3,28.0,8,2,69.55,S,0.754049972623,-0.101339932418
325,1,female,1,36.0,0,0,135.6333,C,2.08450910744,0.515105579659
326,0,male,3,61.0,0,0,6.2375,S,-0.520624475732,2.4414978049
327,1,female,2,36.0,0,0,13.0,S,-0.384474648179,0.515105579659
328,1,female,3,31.0,1,1,20.525,S,-0.232973361326,0.129827134611
329,1,female,1,16.0,0,1,57.9792,C,0.521094346056,-1.02600820053
330,1,female,3,28.0,2,0,23.25,Q,-0.178110769077,-0.101339932418
331,0,male,1,45.5,0,0,28.5,S,-0.0724121968537,1.24713462525
332,0,male,1,38.0,0,1,153.4625,S,2.44346548532,0.669216957678
333,0,male,3,16.0,2,0,18.0,S,-0.2838093413,-1.02600820053
334,1,female,1,28.0,1,0,133.65,S,2.04457920681,-0.101339932418
335,0,male,3,28.0,0,0,7.8958,S,-0.487237820053,-0.101339932418
336,0,male,1,29.0,1,0,66.6,S,0.694657441564,-0.0242842434081
337,1,female,1,41.0,0,0,134.5,C,2.06169230898,0.900384024706
338,1,male,3,45.0,0,0,8.05,S,-0.484133301989,1.20860678074
339,0,male,1,45.0,0,0,35.5,S,0.0685192327769,1.20860678074
340,1,male,2,2.0,1,1,26.0,S,-0.122744850293,-2.10478784667
341,1,female,1,24.0,3,2,263.0,S,4.64879069577,-0.409562688456
342,0,male,2,28.0,0,0,13.0,S,-0.384474648179,-0.101339932418
343,0,male,2,25.0,0,0,13.0,S,-0.384474648179,-0.332506999446
344,0,male,2,36.0,0,0,13.0,S,-0.384474648179,0.515105579659
345,1,female,2,24.0,0,0,13.0,S,-0.384474648179,-0.409562688456
346,1,female,2,40.0,0,0,13.0,S,-0.384474648179,0.823328335697
347,1,female,3,28.0,1,0,16.1,S,-0.322062157914,-0.101339932418
348,1,male,3,3.0,1,1,15.9,S,-0.326088770189,-2.02773215766
349,0,male,3,42.0,0,0,8.6625,S,-0.471801801896,0.977439713716
350,0,male,3,23.0,0,0,9.225,S,-0.460476954872,-0.486618377465
351,0,male,1,28.0,0,0,35.0,S,0.058452702089,-0.101339932418
352,0,male,3,15.0,1,1,7.2292,C,-0.500658518766,-1.10306388954
353,0,male,3,25.0,1,0,17.8,S,-0.287835953575,-0.332506999446
354,0,male,3,28.0,0,0,7.225,C,-0.500743077624,-0.101339932418
355,0,male,3,28.0,0,0,9.5,S,-0.454940362994,-0.101339932418
356,1,female,1,22.0,0,1,55.0,S,0.461113929605,-0.563674066475
357,0,female,2,38.0,0,0,13.0,S,-0.384474648179,0.669216957678
358,1,female,3,28.0,0,0,7.8792,Q,-0.487572028872,-0.101339932418
359,1,female,3,28.0,0,0,7.8792,Q,-0.487572028872,-0.101339932418
360,0,male,3,40.0,1,4,27.9,S,-0.0844920336791,0.823328335697
361,0,male,2,29.0,1,0,27.7208,C,-0.0880998782777,-0.0242842434081
362,0,female,3,45.0,0,1,14.4542,C,-0.355197150326,1.20860678074
363,0,male,3,35.0,0,0,7.05,S,-0.504266363365,0.438049890649
364,0,male,3,28.0,1,0,15.5,Q,-0.334141994739,-0.101339932418
365,0,male,3,30.0,0,0,7.25,S,-0.500239751089,0.0527714456014
